Name,Age,Gender,Occupation,Income,Purchased
John,28.0,Female,Lawyer,110644.0,No
Jennifer,25.0,Male,Engineer,76147.0,No
Emily,46.0,Male,,86747.0,Yes
James,43.0,Male,Doctor,93792.0,No
Deborah,31.0,Female,Nurse,67400.0,No
Kevin,53.0,Female,Lawyer,78612.0,No
Jason,50.0,Female,Nurse,58237.0,Yes
Jason,42.0,Female,Nurse,63233.0,Yes
Gerald,26.0,Female,Lawyer,76881.0,Yes
Courtney,27.0,,Artist,,Yes
Madeline,52.0,Male,Artist,53629.0,No
Jack,45.0,Female,Engineer,77051.0,No
,47.0,,,52072.0,No
Matthew,45.0,Female,Teacher,42137.0,No
Kristin,47.0,Female,Doctor,96527.0,No
Richard,23.0,Female,Teacher,43860.0,Yes
Kimberly,57.0,Male,Engineer,84717.0,No
Haley,38.0,Female,Nurse,56585.0,Yes
Julian,48.0,Female,,,Yes
Dana,31.0,Female,Teacher,54939.0,Yes
Lisa,25.0,Female,Teacher,38658.0,No
Jessica,57.0,Male,,70397.0,Yes
Oscar,36.0,Male,Nurse,56569.0,No
Holly,45.0,Male,Nurse,67005.0,Yes
Bobby,24.0,Male,Lawyer,109628.0,Yes
Kristin,49.0,Male,Nurse,67515.0,No
Karen,40.0,Male,Artist,61962.0,Yes
Heidi,,Female,Artist,68505.0,No
Matthew,29.0,Male,Teacher,59318.0,Yes
Rachael,28.0,Male,Doctor,143303.0,No
Christopher,48.0,,,61366.0,No
Pamela,58.0,,Teacher,41159.0,No
,34.0,Male,,97072.0,Yes
,48.0,Male,Lawyer,111426.0,No
Deanna,45.0,Female,Lawyer,72655.0,No
Allen,40.0,Male,Nurse,50497.0,No
Kristen,57.0,Female,Artist,42579.0,Yes
Mary,49.0,Male,Lawyer,91086.0,Yes
Zachary,31.0,Female,Doctor,112430.0,Yes
,23.0,Male,Artist,62593.0,Yes
Sandra,35.0,,Engineer,93885.0,No
Vanessa,39.0,Female,Teacher,35208.0,Yes
Renee,38.0,Female,Lawyer,93435.0,Yes
,24.0,,Lawyer,87777.0,No
Joseph,39.0,Male,Doctor,140638.0,No
Timothy,39.0,Male,Artist,67587.0,Yes
Yolanda,59.0,Male,Teacher,,Yes
Gabrielle,28.0,Male,,35672.0,No
April,46.0,Female,Teacher,54114.0,No
,27.0,Male,Nurse,76676.0,Yes
Ana,22.0,,Teacher,37716.0,No
William,45.0,,,67683.0,No
Mary,57.0,Male,Lawyer,70909.0,No
Justin,24.0,Male,Teacher,44573.0,Yes
Virginia,50.0,Male,Doctor,98291.0,No
Tammy,59.0,Female,Lawyer,103898.0,No
Abigail,29.0,Male,,56453.0,No
Alexis,48.0,Female,Engineer,74412.0,No
,36.0,Male,,99507.0,No
Wesley,56.0,Male,Lawyer,104121.0,No
Kenneth,51.0,Male,Engineer,,Yes
Michelle,41.0,Female,Doctor,118913.0,Yes
Matthew,23.0,Female,Nurse,79985.0,Yes
Christine,59.0,Female,,62477.0,No
Julia,46.0,Male,Doctor,126785.0,No
Joan,32.0,Male,Teacher,47727.0,No
,44.0,Male,Lawyer,99499.0,No
Samantha,52.0,Female,Teacher,55003.0,No
John,35.0,Female,,88447.0,Yes
Matthew,46.0,Male,Lawyer,95320.0,No
Reginald,41.0,Female,Doctor,141125.0,No
David,,Female,Teacher,40194.0,Yes
Megan,51.0,Male,Teacher,51975.0,No
Tiffany,25.0,Female,Doctor,113209.0,No
Jason,,Male,Teacher,53905.0,No
Chris,32.0,Female,Doctor,93535.0,Yes
Elizabeth,27.0,Male,Nurse,54495.0,Yes
Craig,49.0,Female,Nurse,,No
William,49.0,Female,Teacher,38336.0,No
,56.0,Male,Teacher,40503.0,No
Thomas,57.0,Female,Teacher,57357.0,Yes
James,37.0,Male,Artist,40713.0,No
Jason,,Female,Engineer,79907.0,No
,38.0,Male,,38392.0,No
Olivia,52.0,Female,Artist,58392.0,No
Sabrina,,Female,Artist,64320.0,No
Robert,38.0,Female,Teacher,53640.0,Yes
Elizabeth,41.0,Male,Lawyer,105278.0,Yes
Katie,42.0,Female,Engineer,,Yes
Joel,33.0,Female,Doctor,93405.0,Yes
Mary,50.0,Male,,,No
Christopher,23.0,Male,Doctor,,Yes
Dominic,38.0,Male,Lawyer,109400.0,Yes
Jennifer,50.0,Male,Nurse,72954.0,Yes
Michael,46.0,Female,Doctor,128884.0,No
Renee,50.0,Female,Teacher,57084.0,Yes
Spencer,45.0,Male,Teacher,54990.0,Yes
Lori,35.0,Female,Artist,46515.0,Yes
,50.0,,Artist,,Yes
Brandy,24.0,Male,Lawyer,86944.0,Yes
William,51.0,,Lawyer,107019.0,Yes
Jeffrey,30.0,Female,,53892.0,Yes
Angela,60.0,Female,Nurse,63491.0,Yes
Crystal,35.0,Female,Doctor,86279.0,Yes
Melody,31.0,Male,Artist,61043.0,No
Robert,56.0,Female,Nurse,75492.0,Yes
Derek,55.0,,Lawyer,91898.0,Yes
Steve,22.0,Female,Engineer,61894.0,Yes
Amy,39.0,Male,Engineer,77742.0,No
Zachary,40.0,Male,Teacher,50845.0,Yes
Thomas,22.0,Male,Lawyer,,Yes
Benjamin,46.0,Male,Teacher,47363.0,No
Carl,31.0,Female,Artist,68524.0,No
,53.0,Male,Teacher,37332.0,No
Timothy,52.0,Male,Lawyer,94651.0,Yes
Catherine,,Male,Teacher,49111.0,No
Dawn,35.0,Female,Nurse,60676.0,No
Jason,43.0,Male,Artist,62070.0,No
Anna,,Female,Engineer,94834.0,Yes
Michael,43.0,Male,Artist,51351.0,Yes
Paul,23.0,Male,Engineer,86497.0,Yes
Stephanie,35.0,Female,Lawyer,79142.0,No
Jose,26.0,,Engineer,84431.0,Yes
Alicia,,Female,Teacher,42661.0,No
Isabel,34.0,Male,Artist,65924.0,No
,56.0,Male,Doctor,137882.0,No
Kelli,27.0,Male,Engineer,81723.0,Yes
Jennifer,30.0,Female,,55708.0,No
Richard,,Male,Artist,40733.0,Yes
Erin,,Male,Teacher,,Yes
Malik,56.0,Female,Teacher,41438.0,No
Glenn,58.0,Male,,82335.0,Yes
Victor,47.0,,,73423.0,Yes
,49.0,Male,Nurse,73671.0,No
Nicole,47.0,Male,Teacher,53636.0,Yes
Kevin,60.0,,Nurse,74523.0,Yes
,53.0,Male,Doctor,140555.0,Yes
Danielle,25.0,Male,Engineer,68366.0,Yes
Lauren,59.0,Female,Doctor,130228.0,No
Robert,45.0,Female,Nurse,53298.0,No
Calvin,32.0,Male,,133409.0,Yes
Timothy,50.0,Male,Doctor,92684.0,Yes
Matthew,58.0,Male,Engineer,75070.0,No
Brett,30.0,Female,Doctor,117600.0,Yes
,37.0,,Lawyer,89329.0,Yes
Cynthia,47.0,Male,Teacher,,No
,32.0,Female,Engineer,97761.0,No
Sara,38.0,Male,Doctor,121199.0,No
Scott,55.0,,Engineer,75897.0,No
Robert,23.0,Male,Nurse,62885.0,No
Ashley,28.0,,Lawyer,87278.0,No
Reginald,53.0,Female,Artist,46051.0,No
,23.0,Female,Artist,48514.0,Yes
Yesenia,48.0,Female,Doctor,93353.0,Yes
Sheila,48.0,Male,Artist,48458.0,No
Anthony,25.0,,Nurse,76794.0,No
Christina,,Male,Artist,46495.0,Yes
Larry,57.0,Male,Engineer,73007.0,No
Peter,55.0,Female,,85577.0,No
Heidi,27.0,Male,Artist,64576.0,Yes
Jo,44.0,Female,Doctor,88804.0,Yes
Scott,36.0,Female,Artist,46625.0,No
Jessica,22.0,Female,,98304.0,No
,46.0,Female,Nurse,77798.0,No
Vincent,22.0,Female,Doctor,133724.0,Yes
,32.0,Female,Engineer,93333.0,Yes
Ashley,34.0,Male,Artist,59647.0,Yes
,59.0,Male,,103614.0,No
Courtney,,Male,Nurse,51729.0,Yes
Elizabeth,33.0,Male,Teacher,41813.0,No
John,37.0,Male,,84374.0,No
Michael,58.0,Male,Lawyer,96837.0,No
Robert,,Female,Engineer,84422.0,No
Sue,56.0,Female,,41692.0,Yes
Tyler,48.0,Female,Engineer,68819.0,Yes
Fred,38.0,Male,Artist,47506.0,No
Andrea,42.0,Female,Artist,58688.0,Yes
Tyler,25.0,Male,Doctor,,Yes
Alan,40.0,Female,Teacher,50438.0,No
Anthony,,Female,Lawyer,112211.0,Yes
Kevin,48.0,,Teacher,36525.0,Yes
